,code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
0,HK.01012,P ONTARIO B2024,10,BOND,N/A,,N/A,,N/A,N/A,1994-02-08,37808597107700,False,N/A,False,,HK_MAINBOARD
1,HK.01485,TENNESSEE B2025,10,BOND,N/A,,N/A,,N/A,N/A,1995-11-07,40544491275725,False,N/A,False,,HK_MAINBOARD
2,HK.01687,PRC B2710,10,BOND,N/A,,N/A,,N/A,N/A,1997-10-29,43645457663639,False,N/A,False,,HK_MAINBOARD
3,HK.02527,PTT N3508,1000,BOND,N/A,,N/A,,N/A,N/A,2005-08-04,55825984915935,False,N/A,False,,HK_MAINBOARD
4,HK.02568,CNOOC F03 N3305,10,BOND,N/A,,N/A,,N/A,N/A,2003-08-27,52785148070408,False,N/A,False,,HK_MAINBOARD
5,HK.04006,EFN 2.39 2508,500,BOND,N/A,,N/A,,N/A,N/A,2010-08-23,63750199578534,False,N/A,False,,HK_MAINBOARD
6,HK.04012,EFN 3.32 2602,500,BOND,N/A,,N/A,,N/A,N/A,2011-02-28,64561948397484,False,N/A,False,,HK_MAINBOARD
7,HK.04018,EFN 2.07 2608,500,BOND,N/A,,N/A,,N/A,N/A,2011-08-29,65343632445362,False,N/A,False,,HK_MAINBOARD
8,HK.04024,EFN 1.51 2702,500,BOND,N/A,,N/A,,N/A,N/A,2012-02-27,66125316493240,False,N/A,False,,HK_MAINBOARD
9,HK.04030,EFN 0.80 2708,500,BOND,N/A,,N/A,,N/A,N/A,2012-08-28,66911295508414,False,N/A,False,,HK_MAINBOARD
10,HK.04036,EFN 1.49 2802,500,BOND,N/A,,N/A,,N/A,N/A,2013-02-25,67688684588996,False,N/A,False,,HK_MAINBOARD
11,HK.04042,EFN 2.49 2808,500,BOND,N/A,,N/A,,N/A,N/A,2013-08-23,68457483734986,False,N/A,False,,HK_MAINBOARD
12,HK.04048,EFN 2.48 2902,500,BOND,N/A,,N/A,,N/A,N/A,2014-03-03,69282117455824,False,N/A,False,,HK_MAINBOARD
13,HK.04051,EFN 1.96 2406,500,BOND,N/A,,N/A,,N/A,N/A,2014-06-04,69681549414355,False,N/A,False,,HK_MAINBOARD
14,HK.04054,EFN 2.24 2908,500,BOND,N/A,,N/A,,N/A,N/A,2014-08-28,70046621634518,False,N/A,False,,HK_MAINBOARD
15,HK.04057,EFN 1.84 2412,500,BOND,N/A,,N/A,,N/A,N/A,2014-12-09,70489003266009,False,N/A,False,,HK_MAINBOARD
16,HK.04067,EFN 0.99 1902,500,BOND,N/A,,N/A,,N/A,N/A,2017-02-21,73946451939299,False,N/A,False,,HK_MAINBOARD
17,HK.04088,EFN 0.94 2402,500,BOND,N/A,,N/A,,N/A,N/A,2022-02-22,81793357189112,False,N/A,False,,HK_MAINBOARD
18,HK.04090,EFN 2.35 2405,500,BOND,N/A,,N/A,,N/A,N/A,2022-05-24,82184199213050,False,N/A,False,,HK_MAINBOARD
19,HK.04091,EFN 2.84 2408,500,BOND,N/A,,N/A,,N/A,N/A,2022-08-23,82575041236987,False,N/A,False,,HK_MAINBOARD
20,HK.04092,EFN 4.55 2411,500,BOND,N/A,,N/A,,N/A,N/A,2022-11-24,82974473195516,False,N/A,False,,HK_MAINBOARD
21,HK.04093,EFN 3.75 2502,500,BOND,N/A,,N/A,,N/A,N/A,2023-02-23,83365315219453,False,N/A,False,,HK_MAINBOARD
