,code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
0,HK.100200,白银期货,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,100200,False,N/A,False,,HK_MAINBOARD
1,HK.100300,铂金期货,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,100300,False,N/A,False,,HK_MAINBOARD
2,HK.100400,MTW,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,100400,False,N/A,False,,HK_MAINBOARD
3,HK.100500,TCB,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,100500,False,N/A,False,,HK_MAINBOARD
4,HK.100600,TCE,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,100600,False,N/A,False,,HK_MAINBOARD
5,HK.100700,TCF,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,100700,False,N/A,False,,HK_MAINBOARD
6,HK.100702,欧美汇率,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,100702,False,N/A,False,,HK_MAINBOARD
7,HK.100703,澳美汇率,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,100703,False,N/A,False,,HK_MAINBOARD
8,HK.800000,恒生指数,1,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800000,False,N/A,False,,HK_MAINBOARD
9,HK.800100,国企指数,1,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800100,False,N/A,False,,HK_MAINBOARD
10,HK.800121,标普香港大型股指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800121,False,N/A,False,,HK_MAINBOARD
11,HK.800122,沪深300指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800122,False,N/A,False,,HK_MAINBOARD
12,HK.800123,中证香港100指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800123,False,N/A,False,,HK_MAINBOARD
13,HK.800124,中证两岸三地500指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800124,False,N/A,False,,HK_MAINBOARD
14,HK.800125,恒指波幅指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800125,False,N/A,False,,HK_MAINBOARD
15,HK.800126,中证内地消费指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800126,False,N/A,False,,HK_MAINBOARD
16,HK.800127,中证香港内地民营企业指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800127,False,N/A,False,,HK_MAINBOARD
17,HK.800129,中证香港上市可交易内地地产指数,1,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800129,False,N/A,False,,HK_MAINBOARD
18,HK.800130,中证香港上市可交易内地消费指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800130,False,N/A,False,,HK_MAINBOARD
19,HK.800131,中证海外内地股港元指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800131,False,N/A,False,,HK_MAINBOARD
20,HK.800132,中证香港红利港币指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800132,False,N/A,False,,HK_MAINBOARD
21,HK.800133,中证锐联香港基本面50港币指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800133,False,N/A,False,,HK_MAINBOARD
22,HK.800134,中证香港中盘精选港币指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800134,False,N/A,False,,HK_MAINBOARD
23,HK.800135,中证香港内地股港元指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800135,False,N/A,False,,HK_MAINBOARD
24,HK.800136,中华交易服务中国120指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,800136,False,N/A,False,,HK_MAINBOARD
