,code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
0,US..BFLY,Cboe S&P 500铁蝴蝶指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,77768973045487,False,N/A,False,,US_NYSE
1,US..BKX,KBW银行指数,1,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,79323751208280,False,N/A,False,,US_NASDAQ
2,US..BPVIX,Cboe/CME FX英镑波动率指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,77768973045488,False,N/A,False,,US_NYSE
3,US..BSZ,SPX Binary Underlying,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,77768973045489,False,N/A,False,,US_NYSE
4,US..BVZ,VIX Binary Underlying,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,77768973045490,False,N/A,False,,US_NYSE
5,US..BXD,DJIA 买股卖权,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,77768973045491,False,N/A,False,,US_NYSE
6,US..BXEA,Cboe MSCI EAFE买股卖权指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,77768973045492,False,N/A,False,,US_NYSE
7,US..BXEF,Cboe MSCI新兴市场股票回购指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,77768973045493,False,N/A,False,,US_NYSE
8,US..BXM,买股卖权-月,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,77768973045494,False,N/A,False,,US_NYSE
9,US..BXMC,Cboe S&P 500 有条件买股卖权指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,77768973045495,False,N/A,False,,US_NYSE
10,US..BXMD,Cboe S&P 500 30-Delta买股卖权指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,77768973045496,False,N/A,False,,US_NYSE
11,US..BXMW,Cboe S&P 500 多周买股卖权指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,77768973045497,False,N/A,False,,US_NYSE
12,US..BXN,NASDAQ 100 买股卖权,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,77768973045498,False,N/A,False,,US_NYSE
13,US..BXNT,Cboe NASDAQ-100 买股卖权指数V2,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,77768973045499,False,N/A,False,,US_NYSE
14,US..BXO,Reduced Value BXM,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,77768973045500,False,N/A,False,,US_NYSE
15,US..BXR,Cboe罗素2000买股卖权,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,77768973045501,False,N/A,False,,US_NYSE
16,US..BXRC,Cboe罗素2000有条件买股卖权指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,77768973045502,False,N/A,False,,US_NYSE
17,US..BXRD,Cboe罗素2000 30-Delta 买股卖权指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,77768973045503,False,N/A,False,,US_NYSE
18,US..BXRT,Cboe罗素2000 30-Delta 买股卖权指数V2,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,77768973045504,False,N/A,False,,US_NYSE
19,US..BXRVT,Cboe 罗素2000买股卖权指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,77768973045505,False,N/A,False,,US_NYSE
20,US..BXY,Cboe S&P 500 Buy Write 2% OTM,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,77768973045506,False,N/A,False,,US_NYSE
21,US..BYB,Morgan Stanley 8% Targeted Income STARS Cboe S&P 500 BuyWrite Index Nev,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,77768973045507,False,N/A,False,,US_NYSE
