,code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
0,US.1061,FALCONS BEYOND GLOBAL INC COM USD0.0001 CLASS A,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84331683075112,False,N/A,False,,US_NASDAQ
1,US.A,安捷伦科技,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,204747,False,N/A,False,,US_NYSE
2,US.AA,美国铝业公司,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,205871,False,N/A,False,,US_NYSE
3,US.AAAIF,ALTERNATIVE INVESTMENT TRUST NPV,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,77975131476161,False,N/A,False,,US_PINK
4,US.AABB,ASIA BROADBAND INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212512227,False,N/A,False,,US_PINK
5,US.AABVF,ABERDEEN INTL,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,77927886835866,False,N/A,False,,US_PINK
6,US.AAC,AAC Holdings,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80358838318583,False,N/A,False,,US_NYSE
7,US.AAC.U,Ares Acquisition Corporation,1,STOCK,N/A,,N/A,,N/A,N/A,2021-02-02,80139794995837,False,N/A,False,,US_NYSE
8,US.AAC.WS,ARES ACQUISITION CORP C/WTS (TO PUR COM),1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,81247896563552,False,N/A,False,,US_NYSE
9,US.AACAY,瑞声科技(ADR),1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,214631,False,N/A,False,,US_PINK
10,US.AACG,ATA Creativity Global,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,78103980495170,False,N/A,False,,US_NASDAQ
11,US.AACH,AAC HLDGS INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,78245714416109,False,N/A,False,,US_PINK
12,US.AACI,Armada Acquisition Corp I,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,81346680811721,False,N/A,False,,US_NASDAQ
13,US.AACIU,ARMADA ACQUISITION CORP I UNIT 1 CL A & 1/2 WT EXP,1,STOCK,N/A,,N/A,,N/A,N/A,2021-08-13,80964428721216,False,N/A,False,,US_NASDAQ
14,US.AACIW,ARMADA ACQUISITION CORP I C/WTS (TO PUR COM),1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,81346680811719,False,N/A,False,,US_NASDAQ
15,US.AACOU,ADVANCIT ACQUISITION CORP I UNIT 1 CL A & 1/3 WT EXP(25/02/2026),1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80380313165124,False,N/A,False,,US_NASDAQ
16,US.AACQW,ARTIUS ACQUISITION INC C/WTS 13/07/2025(TO PUR COM),1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,79491254933011,False,N/A,False,,US_NASDAQ
17,US.AACT,Ares Acquisition Corporation II,1,STOCK,N/A,,N/A,,N/A,N/A,2023-06-12,83833466880164,False,N/A,False,,US_NYSE
