,code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
0,HK.00001,长和,500,STOCK,N/A,,N/A,,N/A,N/A,2015-03-18,4440996184065,False,N/A,False,,HK_MAINBOARD
1,HK.00002,中电控股,500,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,2,False,N/A,False,,HK_MAINBOARD
2,HK.00003,香港中华煤气,1000,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,3,False,N/A,False,,HK_MAINBOARD
3,HK.00004,九龙仓集团,1000,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,4,False,N/A,False,,HK_MAINBOARD
4,HK.00005,汇丰控股,400,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,5,False,N/A,False,,HK_MAINBOARD
5,HK.00006,电能实业,500,STOCK,N/A,,N/A,,N/A,N/A,1976-08-16,6,False,N/A,False,,HK_MAINBOARD
6,HK.00007,智富资源投资,10000,STOCK,N/A,,N/A,,N/A,N/A,2000-09-08,48133698486279,False,N/A,False,,HK_MAINBOARD
7,HK.00008,电讯盈科,1000,STOCK,N/A,,N/A,,N/A,N/A,1994-10-18,38890928865288,False,N/A,False,,HK_MAINBOARD
8,HK.00009,金奥国际,6000,STOCK,N/A,,N/A,,N/A,N/A,2001-09-12,49718541418505,False,N/A,False,,HK_MAINBOARD
9,HK.00010,恒隆集团,1000,STOCK,N/A,,N/A,,N/A,N/A,1972-10-12,4355096838154,False,N/A,False,,HK_MAINBOARD
10,HK.00011,恒生银行,100,STOCK,N/A,,N/A,,N/A,N/A,1972-06-20,3865470566411,False,N/A,False,,HK_MAINBOARD
11,HK.00012,恒基地产,1000,STOCK,N/A,,N/A,,N/A,N/A,1981-07-23,18124761989132,False,N/A,False,,HK_MAINBOARD
12,HK.00013,和黄医药,500,STOCK,N/A,,N/A,,N/A,N/A,2021-06-30,80723910328333,False,N/A,False,,HK_MAINBOARD
13,HK.00014,希慎兴业,1000,STOCK,N/A,,N/A,,N/A,N/A,1981-09-18,18369575125006,False,N/A,False,,HK_MAINBOARD
14,HK.00016,新鸿基地产,500,STOCK,N/A,,N/A,,N/A,N/A,1972-09-08,4209067950096,False,N/A,False,,HK_MAINBOARD
15,HK.00017,新世界发展,1000,STOCK,N/A,,N/A,,N/A,N/A,1972-11-23,4535485464593,False,N/A,False,,HK_MAINBOARD
16,HK.00018,东方企控集团,2000,STOCK,N/A,,N/A,,N/A,N/A,1987-08-17,27646704484370,False,N/A,False,,HK_MAINBOARD
17,HK.00019,太古股份公司A,500,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,19,False,N/A,False,,HK_MAINBOARD
18,HK.00020,商汤-W,1000,STOCK,N/A,,N/A,,N/A,N/A,2021-12-30,81462644703252,False,N/A,False,,HK_MAINBOARD
19,HK.00021,大中华控股,5000,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,21,False,N/A,False,,HK_MAINBOARD
20,HK.00022,茂盛控股,40000,STOCK,N/A,,N/A,,N/A,N/A,1972-12-14,4625679777814,False,N/A,False,,HK_MAINBOARD
21,HK.00023,东亚银行,200,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,23,False,N/A,False,,HK_MAINBOARD
22,HK.00025,其士国际,2000,STOCK,N/A,,N/A,,N/A,N/A,1984-12-05,23411866730521,False,N/A,False,,HK_MAINBOARD
23,HK.00026,中华汽车,200,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,26,False,N/A,False,,HK_MAINBOARD
24,HK.00027,银河娱乐,1000,STOCK,N/A,,N/A,,N/A,N/A,1991-10-07,34136400068635,False,N/A,False,,HK_MAINBOARD
25,HK.00028,天安,1000,STOCK,N/A,,N/A,,N/A,N/A,1987-03-18,26989574488092,False,N/A,False,,HK_MAINBOARD
26,HK.00029,达力集团,2000,STOCK,N/A,,N/A,,N/A,N/A,1973-01-25,29,False,N/A,False,,HK_MAINBOARD
27,HK.00030,云白国际,2000,STOCK,N/A,,N/A,,N/A,N/A,1991-10-09,34144990003230,False,N/A,False,,HK_MAINBOARD
28,HK.00031,航天控股,2000,STOCK,N/A,,N/A,,N/A,N/A,1981-08-25,18266495909919,False,N/A,False,,HK_MAINBOARD
29,HK.00032,港通控股,1000,STOCK,N/A,,N/A,,N/A,N/A,1974-07-30,7172595384352,False,N/A,False,,HK_MAINBOARD
30,HK.00033,INTL GENIUS,2000,STOCK,N/A,,N/A,,N/A,N/A,2007-11-19,59420872540193,False,N/A,False,,HK_MAINBOARD
31,HK.00034,九龙建业,1000,STOCK,N/A,,N/A,,N/A,N/A,1995-07-04,40003325394978,False,N/A,False,,HK_MAINBOARD
32,HK.00035,远东发展,1000,STOCK,N/A,,N/A,,N/A,N/A,1972-09-21,4264902524963,False,N/A,False,,HK_MAINBOARD
33,HK.00036,远东控股国际,3000,STOCK,N/A,,N/A,,N/A,N/A,1973-02-12,4883377815588,False,N/A,False,,HK_MAINBOARD
34,HK.00037,远东酒店实业,2000,STOCK,N/A,,N/A,,N/A,N/A,1979-07-03,14899241549861,False,N/A,False,,HK_MAINBOARD
35,HK.00038,第一拖拉机股份,2000,STOCK,N/A,,N/A,,N/A,N/A,1997-06-23,43095701848102,False,N/A,False,,HK_MAINBOARD
36,HK.00039,中国北大荒,8000,STOCK,N/A,,N/A,,N/A,N/A,2001-01-16,48692044234791,False,N/A,False,,HK_MAINBOARD
37,HK.00040,金山科技工业,1000,STOCK,N/A,,N/A,,N/A,N/A,1984-07-02,22741851832360,False,N/A,False,,HK_MAINBOARD
38,HK.00041,鹰君,1000,STOCK,N/A,,N/A,,N/A,N/A,1972-10-26,41,False,N/A,False,,HK_MAINBOARD
39,HK.00042,东北电气,2000,STOCK,N/A,,N/A,,N/A,N/A,1995-07-06,40011915329578,False,N/A,False,,HK_MAINBOARD
40,HK.00045,大酒店,500,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,45,False,N/A,False,,HK_MAINBOARD
41,HK.00046,科联系统,2000,STOCK,N/A,,N/A,,N/A,N/A,1998-05-18,44508746088494,False,N/A,False,,HK_MAINBOARD
42,HK.00048,中国汽车内饰,10000,STOCK,N/A,,N/A,,N/A,N/A,2010-09-29,63909113364528,False,N/A,False,,HK_MAINBOARD
43,HK.00050,香港小轮(集团),1000,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,50,False,N/A,False,,HK_MAINBOARD
44,HK.00051,海港企业,1000,STOCK,N/A,,N/A,,N/A,N/A,1971-02-15,51,False,N/A,False,,HK_MAINBOARD
45,HK.00052,大快活集团,500,STOCK,N/A,,N/A,,N/A,N/A,1991-10-09,34144990003252,False,N/A,False,,HK_MAINBOARD
46,HK.00053,国浩集团,1000,STOCK,N/A,,N/A,,N/A,N/A,1983-05-03,20912195764277,False,N/A,False,,HK_MAINBOARD
47,HK.00055,中星集团控股,10000,STOCK,N/A,,N/A,,N/A,N/A,1992-09-10,35592393982007,False,N/A,False,,HK_MAINBOARD
48,HK.00057,震雄集团,2000,STOCK,N/A,,N/A,,N/A,N/A,1991-10-22,34200824578105,False,N/A,False,,HK_MAINBOARD
49,HK.00058,新威国际,20000,STOCK,N/A,,N/A,,N/A,N/A,1999-09-03,46540265619514,False,N/A,False,,HK_MAINBOARD
50,HK.00059,天誉置业,2000,STOCK,N/A,,N/A,,N/A,N/A,1993-11-16,37447819853883,False,N/A,False,,HK_MAINBOARD
51,HK.00060,香港食品投资,2000,STOCK,N/A,,N/A,,N/A,N/A,1992-12-16,36009005809724,False,N/A,False,,HK_MAINBOARD
52,HK.00061,绿领控股,20000,STOCK,N/A,,N/A,,N/A,N/A,1999-07-06,46286862549053,False,N/A,False,,HK_MAINBOARD
53,HK.00062,载通,400,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,62,False,N/A,False,,HK_MAINBOARD
54,HK.00063,中亚烯谷集团,1000,STOCK,N/A,,N/A,,N/A,N/A,1986-02-26,25336012079167,False,N/A,False,,HK_MAINBOARD
55,HK.00064,结好控股,2000,STOCK,N/A,,N/A,,N/A,N/A,2002-06-06,50865297686592,False,N/A,False,,HK_MAINBOARD
56,HK.00065,弘海高新资源,4000,STOCK,N/A,,N/A,,N/A,N/A,2001-08-30,49662706843713,False,N/A,False,,HK_MAINBOARD
57,HK.00066,港铁公司,500,STOCK,N/A,,N/A,,N/A,N/A,2000-10-05,48249662603330,False,N/A,False,,HK_MAINBOARD
